,Correlation,Mutual Information,Permutation Importance,Tree-Based Importance
low_mom20,0.009934953905358907,0.3134276281153685,0.015135758863335291,0.03757658881946518
close_mom5,-0.008440609344177591,0.3024624408859209,0.009717710244316845,0.03658891397790905
MACD_x_Stoch14,0.010317883824255776,0.29483049744024825,-0.02462294624758159,0.03647211062312186
MACD_hist_x_MACD_signal,0.03794329551926427,0.3518589556902918,0.0011499525137009358,0.03373920500467463
MACD_x_Stoch14.1,0.010317883824255776,0.29483049744024825,-0.02450303989347711,0.03311552653742705
MACD_hist_x_Stoch14,0.026728044293294898,0.27053262678502765,0.003936221335470158,0.03155486821854719
close_mom10,0.017470482242117218,0.2813403801257932,0.038821245547333794,0.029040255034451304
low_mom10,-0.031130999066013645,0.2879888316220818,0.004965910486871184,0.024949823900556237
open_mom20,-0.032881710209372576,0.3379425280133965,0.02404477191150838,0.024943740394520932
open_mom10,0.0007989827602587399,0.28468866681108107,0.011495259139598101,0.02396895267587686
volume_roll_std,-5.834354302533216e-05,0.22357293588909855,-0.0017739615905049354,0.023855190199384157
MACD_x_Stoch1,0.022453978268768708,0.3028772847142278,0.005464370613838776,0.023840053188389606
open_mom5,-0.00879514912263481,0.2660424527764711,-0.0030730595907602297,0.02341745978568087
low_roll_std,0.047402151910110914,0.5070093788707961,-0.004100171827320498,0.02331609764588277
close_mom20,-0.019071155791698234,0.3597003045063918,0.005343996850274424,0.022673717451409836
low_mom5,-0.025747336285073835,0.28206116548580606,0.005531092275838634,0.020607857732197563
volume_mom5,0.013088129903548764,0.08744766102307899,0.004358200047337601,0.019027972483755744
volume_mom20,0.00045924149559947063,0.0744221388557369,0.005503526489283583,0.01732279419299698
volume_mom10,0.008532605168822767,0.09814364024015898,0.0004360867676800106,0.01630498359182817
high_mom5,0.005751123331572942,0.2741044240504005,0.0031585576268084335,0.01553104580313009
ATR14_x_Stoch1,0.007372921210412528,0.3812251840687084,-0.001497536469660532,0.015495603709390883
ATR_x_Stoch14,0.044736526415393545,0.4503043855795825,0.007110356461219003,0.014529421734175315
volume_roll_mean,0.0014738682523844978,0.3296751860879965,-0.003361459746471507,0.014386246683841038
low,0.0318539363304865,0.4876826200378055,0.009028818696434437,0.013894357838550845
