,Correlation,Mutual Information,Permutation Importance,Tree-Based Importance
close_mom5,-0.06325210567918006,0.26203697591738795,0.05798343941975788,0.06679143983978326
low_mom10,-0.029978316132514265,0.25124088364082375,0.0044500747428749985,0.04098160822680764
high_mom10,0.00038032681761458964,0.24326645984952044,0.0005971992699667749,0.03570286309086197
open_mom5,0.0068588074139206995,0.2355726282560724,0.016556776504052916,0.03092802667669609
open_mom20,-0.008561312453616547,0.24787730669231411,0.11711524606988896,0.026788957623664397
close_mom10,-0.031846766599069376,0.2780467345720252,0.0296135204663857,0.02585191032407427
volume,-0.001998933161880108,0.1045260547654765,-0.001952290787214861,0.024944813516113613
volume_mom20,-0.006168890994043575,0.12405848155402843,0.0010713495873490686,0.024403370315998377
close_mom20,-0.032934586236309,0.2567969388123741,0.07636500993978705,0.023105313132549855
open_mom10,0.00760492622768636,0.25887711965181115,0.020135699801852657,0.021495244329556868
low_roll_std,0.005121302895066778,0.3749720602442572,0.011519210064528652,0.020850811569674495
ATR14_x_MACD_signal,0.0005501416379599613,0.35137928863646994,0.002478154334315241,0.020391557774763133
low_mom20,-0.01759083473167221,0.2506212445924785,0.013090413946375445,0.020002454712860024
volume_mom5,-0.003660065975058854,0.1473288660442531,-0.0025174041291578186,0.01949071916120609
volume_EMA,0.0005374996180148005,0.19797834412776094,0.005427259683408026,0.019017533988539465
high_mom5,-0.00046641021463530096,0.23873393649897778,-0.0008693979156863208,0.018828326381142624
low_mom5,-0.01144417761452888,0.23479412477700734,0.0030183837851699424,0.017665064392454508
high_roll_std,0.0026608641551793466,0.38475625134548874,0.028773287328023468,0.01715295297219027
volume_mom10,-0.00178649572763201,0.0869940686488686,-0.0011870746232018892,0.016705801625348193
Stoch14_div_ATR14,-0.008522422888406274,0.31062782143647993,-0.0015182263832683063,0.0165366024241641
high_mom20,-0.0013259903838375908,0.2488771961246412,-2.1435335549302435e-05,0.016086681986649896
MACD_hist_x_MACD_signal,0.006844031516344476,0.2861277662356869,0.004960893795973908,0.016067455678154537
MACD_hist_x_Stoch14,-0.011938040565381905,0.21592232590475824,0.00802103290685079,0.015951684779200982
volume_roll_mean,0.00018159133117747546,0.20270919443554103,0.0026676006668477914,0.015830142119940074
close_roll_std,0.020709654445650975,0.3868293637703566,0.026468294684507666,0.01459410559855016
MACD_hist.1,-0.019117459068768407,0.2361225712623618,0.0087933304580885,0.014469841955200942
ATR14_x_Stoch1,-0.007907126127094063,0.26992158767880525,0.022457657858524917,0.014242829434999832
volume_roll_std,0.001056686088783465,0.19252986686048867,0.0032810053134832763,0.013621049372706648
ATR_x_Stoch14,0.004364777622309121,0.3004569059137303,0.005051597653978002,0.013581676306611935
MACD_x_Stoch1,0.0007216736373266388,0.1757792895072754,0.009796479902569289,0.013467916591593838
open_roll_std,0.01739436388420265,0.38950017384367897,0.01748598248342057,0.013392965672139177
MACD_hist,-0.019117459068768407,0.23612251310970933,0.03513683727385466,0.013014185742556219
ATR14_x_MACD_hist,-0.025401263359708003,0.34703905668052126,0.013230646457574458,0.012649519793377617
MACD_div_ATR,-0.002764579627344666,0.009393591346143815,-0.0034979509470226544,0.011692162305506914
ATR_x_Stoch1,-0.008168755390385054,0.2668119532965676,0.004717376699708842,0.011350844555083528
MACD_signal,-0.0006456763530432457,0.2436012917603838,0.011527019562754015,0.011124143011411245
low,0.011761387948288063,0.4558230650115247,0.028911052629562638,0.010990355286640385
open,0.012607635942309743,0.4690723745035106,0.1924139367432835,0.010694209234263572
high,0.012556156861503341,0.47052927015961643,0.028558596098634138,0.010596652437740708
Stoch1,-0.022917840761434417,0.06610373750804488,-0.000679636574358633,0.01008315561874086
Stoch14.1,-0.007026429922248362,0.019194938739548917,0.0016068668517526864,0.010047885514744719
ATR14.1,0.009161119836335916,0.41561914730207494,0.0064704361563048705,0.009819137605202637
MACD_x_Stoch14,0.005229986440363886,0.21817534111125614,0.02286090900554678,0.009754449977833743
MACD.1,-0.006310979745783629,0.24804035530285606,0.013562100759672435,0.009742400454167504
MACD_x_Stoch14.1,0.005229986440363886,0.21824159438071522,0.012168189978599652,0.009500625161028656
MACD_signal.1,-0.0006456763530432457,0.24360131198264057,0.012015274606482418,0.009381539540061087
low_roll_mean,0.012604083510051914,0.45955393035922665,0.05687706355412207,0.00928174547978451
MACD,-0.006310979745783629,0.24804035530285606,0.017121707363334227,0.00896315630425311
Stoch1.1,-0.022917840761434417,0.06792701853830874,0.003477249497105217,0.008651750849416
ATR,0.008068602870563156,0.4264166125676727,0.0023512946841366842,0.00842926394262823
close,0.01157206928579023,0.4708283184270705,0.1554565470898293,0.008382934006665932
ATR14,0.009161119836335916,0.41564326856733125,0.004006713826201924,0.008300541390717729
Stoch14,-0.007026429922248362,0.019615449124201767,0.0006448135194257576,0.00827321022528545
low_EMA,0.012554871099793103,0.4615167212787652,0.04297451144435103,0.008150781470144091
ATR.1,0.008068602870563156,0.42643990267026677,0.008613426514040734,0.008149237329737664
ATR_x_MACD_hist,-0.019522595400291234,0.3475919013070321,0.007039647082666601,0.008133497714730225
ATR_x_MACD_diff,-0.019522595400291234,0.3475917962078654,0.005024724311203976,0.00794982182718406
EMA12,0.012555421536415751,0.4699723072749977,0.007039036657684794,0.007617741571119727
close_EMA,0.0126136969064846,0.4694337607959973,0.01143828857585658,0.007252732694180829
ATR14_x_MACD,-0.0072495984355900175,0.35865913505880176,0.006051316741626245,0.007105762818672851
ATR14_x_MACD.1,-0.0072495984355900175,0.35865454368018135,0.002553574936348868,0.007093158476046899
open_roll_mean,0.012678601341771711,0.4613007087394294,0.32397843861790576,0.006666645079330326
ATR_x_MACD,-0.005301336900288544,0.3628447192969011,0.011185407302845984,0.006519593885671456
high_roll_mean,0.012777813167626714,0.46734249369127934,0.03534998015061495,0.0065041538815090215
EMA26,0.012636094442949712,0.4693629402718287,0.0642342971286689,0.006427848758823049
high_EMA,0.012785336024811038,0.46727002039582466,0.007305403812680722,0.006255549959720286
ATR_x_MACD.1,-0.005301336900288544,0.36284354229270654,0.0025835791844759813,0.006145027733228206
close_roll_mean,0.01261660191483989,0.4615236850263065,0.016969545804006093,0.005488432149365018
open_EMA,0.012705262344786038,0.4689881137164802,0.01124442496059641,0.004874424639228667
