feature,Correlation_1,Mutual Information_1,Permutation Importance_1,Tree-Based Importance_1,weight_1,Correlation_2,Mutual Information_2,Permutation Importance_2,Tree-Based Importance_2,weight_2,Correlation_4,Mutual Information_4,Permutation Importance_4,Tree-Based Importance_4,weight_4,Correlation_8,Mutual Information_8,Permutation Importance_8,Tree-Based Importance_8,weight_8,weighted_Correlation,weighted_Mutual Information,weighted_Permutation Importance,weighted_Tree-Based Importance
0,0.0099349539053589,0.3134276281153685,0.0151357588633352,0.0375765888194651,0.1,0.0150242033697435,0.2513470460574147,0.0006590316295531,0.0316521019322882,0.15,-0.0028080247346916,0.1100453087372717,-0.0057770866475983,0.050624571521952,0.5,-0.06325210567918,0.2620369759173879,0.0579834394197578,0.0667914398397832,0.25,-0.013969912891143386,0.18957671806813187,0.013219747161906785,0.05051561989271154
1,-0.0084406093441775,0.3024624408859209,0.0097177102443168,0.036588913977909,0.1,-0.0473551247182365,0.2818033082626945,0.0032868598538974,0.0313981520365393,0.15,-0.0040437357535454,0.2701951865204961,0.0257871435272039,0.0402932427487189,0.5,-0.0299783161325142,0.2512408836408237,0.0044500747428749,0.0409816082268076,0.25,-0.017463776552054475,0.27042455449845026,0.015470890451836965,0.03876063763433314
2,0.0103178838242557,0.2948304974402482,-0.0246229462475815,0.0364721106231218,0.1,0.0086401468937189,0.2807860525712682,0.0695023578995765,0.0302252969682864,0.15,0.0148424696429445,0.2414181110846494,0.0371487382258815,0.0348452391685895,0.5,0.0003803268176145,0.2432664598495204,0.0005971992699667,0.0357028630908619,0.25,0.009844126942359279,0.25312662813441983,0.02668672799061075,0.034529340964565364
3,0.0379432955192642,0.3518589556902918,0.0011499525137009,0.0337392050046746,0.1,-0.0225463294504966,0.2804034419121102,0.0007304278628199,0.0300711974760654,0.15,-0.0015195107073757,0.2307517575673223,0.0108520887855688,0.0243255624095283,0.5,0.0068588074139206,0.2355726282560724,0.0165567765040529,0.030928026676696,0.25,0.0013673266341442305,0.25151544770352496,0.0097897979495907,0.02777938799581542
4,0.0103178838242557,0.2948304974402482,-0.0245030398934771,0.033115526537427,0.1,0.0040544675850813,0.2605450013706196,-0.0228318249994009,0.0295474011017047,0.15,-0.0013023766474138,0.3748495172035495,0.0552535467999833,0.0239573503341683,0.5,-0.0085613124536165,0.2478773066923141,0.1171152460698889,0.0267889576236643,0.25,-0.00115155791692326,0.317958885224471,0.051030507178206036,0.02641957739199863
5,0.0267280442932948,0.2705326267850276,0.0039362213354701,0.0315548682185471,0.1,0.0004546152909169,0.453748624606539,0.0021486967599118,0.0282047795969658,0.15,-0.0035277439680693,0.3875151553565823,0.0135272262064332,0.0235587830827454,0.5,-0.0318467665990693,0.2780467345720252,0.0296135204663857,0.0258519103240742,0.25,-0.006984566910834959,0.35838481769078107,0.014882919867346807,0.02562857288379083
6,0.0174704822421172,0.2813403801257932,0.0388212455473337,0.0290402550344513,0.1,0.0019248954736682,0.2646240609492647,0.0271237559925634,0.0273899026011654,0.15,-0.0087661963435424,0.1684661613028684,-0.0018794478319727,0.0235315123611564,0.5,-0.0019989331618801,0.1045260547654765,-0.0019522907872148,0.0249448135161136,0.25,-0.002847048916979275,0.17819224149777235,0.006522891340827831,0.025014470453226544
7,-0.0311309990660136,0.2879888316220818,0.0049659104868711,0.0249498239005562,0.1,-0.0600445302236255,0.2594134754245338,2.1749843863916317e-05,0.0273024013004237,0.15,0.0125699117930905,0.2802567991936833,-0.0066678824628973,0.0223646318593502,0.5,-0.0061688909940435,0.1240584815540284,0.001071349587349,0.0244033703159983,0.25,-0.0073770462921108095,0.238853924461237,-0.0025662503093447026,0.02387350109379385
8,-0.0328817102093725,0.3379425280133965,0.0240447719115083,0.0249437403945209,0.1,0.0055826904920065,0.1348841778796865,0.003525401040362,0.0244930460210077,0.15,0.0344467890322781,0.2373005288852248,0.0051506269911723,0.0220069661551459,0.5,-0.032934586236309,0.2567969388123741,0.076365009939787,0.0231053131325498,0.25,0.006538980509925525,0.23687637862899855,0.02459985332773803,0.022948142303313643
9,0.0007989827602587,0.284688666811081,0.0114952591395981,0.0239689526758768,0.1,0.005039354358431,0.2443671585689606,0.0149475944376767,0.0237983512975841,0.15,-0.0142640942666317,0.2497774450093448,0.0319258479012156,0.021055017801299,0.5,0.0076049262276863,0.2588771196518111,0.0201356998018526,0.0214952443295568,0.25,-0.004395014146603756,0.25473194288407736,0.02438851398068227,0.021867967945263994
