feature,overall_score
ATR,0.20532744966689073
ATR.1,0.0291724546288869
ATR14,0.06479848758214055
ATR14.1,0.23326538458495566
ATR14_x_MACD,-0.7268069127118715
ATR14_x_MACD.1,-0.7742715360511219
ATR14_x_MACD_hist,0.8778334560993296
ATR14_x_MACD_signal,0.49230747728866653
ATR14_x_Stoch1,-0.5598833562808415
ATR_x_MACD,-0.7798854849694434
ATR_x_MACD.1,-1.129447712916262
ATR_x_MACD_diff,-1.4504841905187518
ATR_x_MACD_hist,-1.1153629149654998
ATR_x_Stoch1,-1.1157673098675196
ATR_x_Stoch14,0.39150723954427163
EMA12,2.976034125979876
EMA26,1.5733529608846226
MACD,-1.0780405615644548
MACD.1,-1.1642476760893667
MACD_div_ATR,-3.2984652199023894
MACD_hist,-1.6012432362495532
MACD_hist.1,-1.6384452712495678
MACD_hist_x_MACD_signal,0.708834472875318
MACD_hist_x_Stoch14,0.31196050020427135
MACD_signal,-1.0106772024286477
MACD_signal.1,-1.2511608977948618
MACD_x_Stoch1,-0.5826862907572669
MACD_x_Stoch14,-0.051129149483783484
MACD_x_Stoch14.1,-0.3184156497256425
Stoch1,-3.930755741344897
Stoch1.1,-3.6991132762726697
Stoch14,-3.7405870158928543
Stoch14.1,-3.791318599746596
Stoch14_div_ATR14,-1.094911498098395
close,5.832640114127729
close_EMA,1.79475043090575
close_mom10,-0.18329255359775382
close_mom20,-0.13469057147592114
close_mom5,2.0529964649226886
close_roll_mean,1.3601661677548318
close_roll_std,2.7214452996415472
high,1.6682056706371848
high_EMA,0.9260176433276399
high_mom10,-0.4960266700884165
high_mom20,-1.0948599767796223
high_mom5,-0.018378773363876763
high_roll_mean,1.409368360673668
high_roll_std,2.104440832419256
low,1.5135746722324603
low_EMA,2.5048102938669197
low_mom10,-2.3790745307672765
low_mom20,-0.5905486311920829
low_mom5,1.1115729992677579
low_roll_mean,1.3663703306231014
low_roll_std,1.6975494642224154
open,2.4427917068918803
open_EMA,0.9737212260097866
open_mom10,1.2035223533636192
open_mom20,1.8124172525726672
open_mom5,1.8546474274201104
open_roll_mean,2.7440668173198928
open_roll_std,2.5522484258830387
volume,0.4027492010484499
volume_EMA,-0.9243526416904466
volume_mom10,-1.6529703321126574
volume_mom20,-2.101469828463012
volume_mom5,-1.6701114167953217
volume_roll_mean,-1.4801686546473762
volume_roll_std,-1.2854158786155898
