feature,weighted_Correlation,weighted_Mutual Information,weighted_Permutation Importance,weighted_Tree-Based Importance
ATR,0.00597116597885582,0.44788764491301863,0.004231741152696905,0.0080066537693167
ATR.1,0.00597116597885582,0.44788904371967575,0.0005909834475086597,0.008263670167095715
ATR14,0.007127431236824305,0.4303953887397447,0.001164458023130835,0.008259404538141911
ATR14.1,0.007127431236824305,0.4304060980550636,0.0005951195675034601,0.010631547325080155
ATR14_x_MACD,0.0012118206813811598,0.3547831497576582,0.0043776202803286245,0.008700481428546906
ATR14_x_MACD.1,0.0012118206813811598,0.35478022681089255,0.00246644719753268,0.008639593122296221
ATR14_x_MACD_hist,-0.005417692196126081,0.3417289317379717,0.046790128965763844,0.01322738964496363
ATR14_x_MACD_signal,0.0031399060237481302,0.3500380990626586,0.00818249399573685,0.01614274682014767
ATR14_x_Stoch1,0.0007441857392247102,0.2978026909045275,0.013580651126679964,0.012736188908504545
ATR_x_MACD,0.0012923139534065748,0.35926254243872024,0.00496698893275537,0.0075133115927190595
ATR_x_MACD.1,0.0012923139534065748,0.3592601981611111,0.00015641322986448302,0.006118193186118525
ATR_x_MACD_diff,-0.0037823119085988,0.3454019754483625,0.00145805601103085,0.007885292786193415
ATR_x_MACD_hist,-0.0037823119085988,0.3454023892374621,0.00641424548569683,0.008975410130234455
ATR_x_Stoch1,0.001206303327194595,0.2965497159501017,0.00229901418300346,0.011240568964792674
ATR_x_Stoch14,0.00524677793182826,0.33945822004800796,0.012207742755019265,0.01513135684280368
EMA12,0.020547091593009277,0.4608769281494386,0.034140876897622706,0.00990484462898107
EMA26,0.0206182932618216,0.4662550366524419,0.023569680248079206,0.00559944247007976
MACD,0.0011011614522827347,0.2810130548779371,0.005360657244900854,0.01117319470494056
MACD.1,0.0011011614522827347,0.2810130548779371,0.00828438588272803,0.009249841754106525
MACD_div_ATR,-0.002884869000271545,0.030734729805777235,-0.00010438440540600001,0.012627170820948684
MACD_hist,-0.005918226226711161,0.25655363561438604,0.012588127531377606,0.010914849531357124
MACD_hist.1,-0.005918226226711161,0.25655365015254916,0.00584079587805332,0.011974583970899115
MACD_hist_x_MACD_signal,0.008114907612006375,0.29594657591787055,0.00101428618345168,0.021489874042490382
MACD_hist_x_Stoch14,0.002736617451737825,0.23528369206429275,0.011850988894541954,0.022204984198742575
MACD_signal,0.00302346153482348,0.2629763140405227,0.005707589669920051,0.010702622122128027
MACD_signal.1,0.00302346153482348,0.2629763190960868,0.00347454954938331,0.009984395465390861
MACD_x_Stoch1,0.006437609281463095,0.20810324276047773,0.005244599742851785,0.01685714654306404
MACD_x_Stoch14,0.016465870190412735,0.239606903531635,0.006611958145950676,0.01567359673383427
MACD_x_Stoch14.1,0.016465870190412735,0.23959783350410957,-0.0001689613724607745,0.015260087087170639
Stoch1,-0.008837690254849526,0.053633451457385635,-0.00023219870462558496,0.00960436735726656
Stoch1.1,-0.008837690254849526,0.054255345260028356,6.408471855389895e-06,0.01158691603662453
Stoch14,-0.002041412424529845,0.0203945737625265,0.0015621478464661,0.009330898140143555
Stoch14.1,-0.002041412424529845,0.02029073735685944,0.0022602973670572653,0.008748887269294705
Stoch14_div_ATR14,-0.013058170876784429,0.3370338848960895,0.00686471630336159,0.013855246402243771
close,0.020096017761987602,0.46212773049801276,0.1269577937019714,0.009727409108281645
close_EMA,0.020590416613933644,0.46299235372691205,0.00822745349045306,0.010222099834654535
close_mom10,-0.01519680792626402,0.26133367770790794,0.02350412520823169,0.022325096247575043
close_mom20,-0.013796850791998872,0.266397699558114,0.036239497343934876,0.02076225608527419
close_mom5,-0.018070785093223258,0.26993483153378006,0.024936428893062947,0.04493548289735186
close_roll_mean,0.020589711907394205,0.45477594716031833,0.008605195304115104,0.00709512596282637
close_roll_std,0.032657878012776496,0.41064712457638175,0.013248791096509064,0.014958784811635865
high,0.020886279315205206,0.45799487951481227,0.0137774682982961,0.008757194997032609
high_EMA,0.020609522215306847,0.46117833192706076,0.001983972719884445,0.0065496132994067695
high_mom10,-0.0010556204487268549,0.22982486885322423,0.00215434069251628,0.020976258274061688
high_mom20,-0.00310216831794199,0.24988442558561752,0.0030171329981945444,0.015315503087642571
high_mom5,0.002992888275780415,0.2546138724337062,0.00228088358281242,0.020347074446734514
high_roll_mean,0.02053191692875627,0.459324517049403,0.01614110141035515,0.00724366799247494
high_roll_std,-5.813319798319628e-05,0.3946648744727973,0.037192544818976485,0.019031635499974484
low,0.018555850480106485,0.4382140562893981,0.007564809641930035,0.012339559714893176
low_EMA,0.020561236012181,0.4533465979757897,0.02750868978871919,0.012312845862516509
low_mom10,-0.04019916133751613,0.24769588462379571,0.0009320662937450949,0.027251867740425817
low_mom20,-0.012429553135465449,0.25707352469683425,0.006432392559225305,0.02318405311702637
low_mom5,-0.007021222744211154,0.2465257245988372,0.019885336763396672,0.027995031650691678
low_roll_mean,0.020616625577622796,0.4454020256766409,0.017619831211867804,0.00753352013345617
low_roll_std,0.0043248612243806505,0.4062638243174159,0.00955570295060348,0.023554421137924438
open,0.02070022428317683,0.45622442609342717,0.052666999854003305,0.009647118632661371
open_EMA,0.020590844723604007,0.4619181452270423,0.002862451762452715,0.00636707866586412
open_mom10,0.00528379498686169,0.2569680010134094,0.027800550736337158,0.020974395164674513
open_mom20,-0.0002364558403230902,0.25841518493284577,0.05245426472417693,0.022375853588446928
open_mom5,0.01834731577840595,0.24384127592666732,0.010475765061407865,0.02518572111548984
open_roll_mean,0.0205893588943201,0.45593942920396185,0.08218971091642895,0.007901678447117996
open_roll_std,0.031636701509773324,0.4120676734981885,0.01130619509288071,0.01397938504764894
volume,-0.0008124622076195402,0.1283987811932832,-0.001329419903401305,0.0355357270810516
volume_EMA,0.00030205408174835,0.2291508379076707,0.0030759452416029096,0.017204788902168228
volume_mom10,-0.002465514348573635,0.12536596783922538,-0.0006024876059760348,0.020119889495254985
volume_mom20,0.0016003559842042046,0.06065475242325589,-0.0008809544723523948,0.01844175693521342
volume_mom5,-0.0031186547495896545,0.1173733287640796,-4.376599100629013e-05,0.020634119294473573
volume_roll_mean,-0.00021044626154590997,0.22970059633925943,-0.0015893792984788603,0.014309837624353736
volume_roll_std,-0.0006948162681891081,0.21136718793420464,-0.0010352132183642751,0.01668938959705423
